country,country_code,year,population,gdp,christian,islam,buddhist,judaism,nonrelig,other
Chile,CL,1968,9432044,765.8474016,0.9372299020074883,0.0001290771280689,3.084724586053479e-05,0.0010075673107141,0.0219349077169636,0.0374481189251025
Chile,CL,1969,9597388,873.5818899,0.9390993390068126,0.000181127811784,4.407550659754569e-05,0.0013928289043526,0.0301374587435563,0.0286756747279088
Chile,CL,1970,9763176,940.6483451,0.9395339856902356,0.0002104377104377,5.260942760942761e-05,0.0015782828282828,0.0337962962962962,0.024828388047138
Chile,CL,1971,9927512,1098.9147,0.9383069574953524,0.0002225466172655,5.754803426969943e-05,0.0016178539831763,0.0340556248760831,0.025377236663243
Chile,CL,1972,10091890,1185.049948,0.9364448479943572,0.0002325803793121,6.202820242675443e-05,0.0016458285069436,0.0340014038068464,0.0272726128329549
Chile,CL,1973,10257466,1666.995428,0.9345073883562124,0.0002395446734846,6.55753543664203e-05,0.0016602442078097,0.0338258039119242,0.0295561197276217
Chile,CL,1974,10423257,1578.583676,0.9330170824377272,0.0002427991591471,6.754784532682309e-05,0.0016596348508788,0.0337082402382318,0.0313336585709723
Chile,CL,1975,10588377,732.0544068,0.932463768115942,0.0002415458937198,6.763285024154589e-05,0.0016425120772946,0.0338164251207729,0.0317681159420289
Chile,CL,1976,10754742,970.9573149,0.9331925661129702,0.0002372128432913,6.60351838123596e-05,0.0015645771288568,0.0345747472132248,0.0303418348399155
Chile,CL,1977,10921760,1296.868547,0.9348338980050018,0.0002321891640242,6.367384586934446e-05,0.0014112337356226,0.0359268656647835,0.0276847129974073
Chile,CL,1978,11089278,1465.456056,0.9368086101804528,0.0002262051711408,6.054940216478441e-05,0.0012233752492347,0.0373348538166414,0.0246805834152136
Chile,CL,1979,11256113,1962.081856,0.938567125028402,0.0002193809993824,5.694066636796352e-05,0.0010397821204121,0.0382887261671424,0.0221684135455741
Chile,CL,1980,11423444,2570.843119,0.9395883355764916,0.0002117541498429,5.2938537460744726e-05,0.0008972633467922,0.0383068640646029,0.0209428443248093
Chile,CL,1981,11593656,3012.344782,0.9395222563347608,0.000183623291873,4.449333610769294e-05,0.0007825177207511,0.0337698241427374,0.0254531015077502
Chile,CL,1982,11763777,1663.280433,0.938707708555856,0.0001294124570295,3.081248976895146e-05,0.0006685876301133,0.0240120430833251,0.0363907655575732
Chile,CL,1983,11936651,1715.403457,0.9376563260621896,6.867725223422884e-05,1.6124224437601554e-05,0.0005696372834384,0.0128208059484567,0.049103126273835
Chile,CL,1984,12115624,1636.224762,0.9368453796944544,1.9793138222193743e-05,4.612807636528203e-06,0.0004986025708938,0.0037237938011245,0.0592544495142461
Chile,CL,1985,12299841,1446.806046,0.9367191882527636,0.0,0.0,0.0004674146180498,0.0,0.0628133971291866
Chile,CL,1986,12490708,1524.978095,0.9373043379199172,1.6889207690728077e-05,6.3334528840230285e-06,0.0004932785419287,0.0036945141823467,0.0579027810110415
Chile,CL,1987,12687119,1767.413897,0.9382959020697852,5.628761435820287e-05,2.110785538432608e-05,0.0005636756835587,0.0123129156408568,0.0478032958956734
