Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belize,BLZ,307.4145083,320.0294767,331.7047943,341.9325838,356.2354084,383.1864353,411.9330199,426.2640714,392.2825661,401.5579905,441.7894689,481.0446415,529.3566475,618.5675023,804.7778636,906.4862774,729.4887808,865.7929015,982.6043702,1071.443696,1774.413699,1752.517038,1629.323229,1677.255482,1814.188598,1754.011087,1859.10214,2165.894314,2405.811166,2741.936384,2988.649523,3192.365269,3645.612437,3862.71049,3879.013747,4012.07959,4045.694451,4016.629416,4127.937186,4291.831682,4729.670804,4721.816257,4861.743142,4962.08962,5156.098171,5272.744172,5527.167759,5765.281999,5713.281268,5401.229631,5451.138972,5582.221706,5709.689188,5950.202999,6128.142885,6154.495935,6142.498732,6072.582676,6031.281396,6190.047923,5227.193638,6122.611586,7068.454783,7459.998151,8429.679597
Bermuda,BMU,1715.314632,1773.995316,1824.182283,1821.790913,1986.64081,2064.853248,2369.472947,2722.462334,2975.954289,3214.049039,3574.169289,4012.773965,4458.080033,5090.091792,5891.887817,6493.628715,7259.91355,8383.031394,8904.942823,9664.218846,11426.60123,13687.79806,14442.79023,16236.7417,17866.91744,18713.88251,20996.97672,23042.74359,24958.1127,26282.6241,27665.52581,28195.70916,28761.96346,30950.07991,31543.06349,34115.34456,45063.61493,48736.6768,51629.28149,54388.34173,56542.95695,59490.2452,63358.56587,67106.80281,71692.1589,77628.10352,97781.4559,107395.6515,110268.5624,104711.7124,104111.8242,99049.01699,100213.4934,101704.4075,100961.5766,104855.3668,108747.3561,112339.4256,113204.8221,115798.0408,106976.5462,112765.0817,121613.94,132604.4391,138934.9588
Bolivia,BOL,100.8150829,107.4434777,115.0790596,121.3532769,133.8761792,145.5871127,157.7549976,174.312743,193.5165574,205.0547595,219.3531895,231.0582967,267.8941345,257.3418598,418.3793847,468.2981482,519.9946885,600.2882231,683.142437,801.033734,772.7795239,981.381289,930.5930098,880.4611795,982.0812102,838.0800517,604.2573383,649.7087694,672.6071728,675.4699939,682.6768103,733.9354876,759.571135,756.637016,774.0356696,852.7540349,922.1132591,970.3518434,1022.145065,979.344495,975.7770604,930.1682272,888.221329,893.0137602,953.1918932,1020.123262,1202.711504,1354.549059,1692.672485,1731.181721,1929.783731,2315.521219,2575.598571,2870.02377,3041.435032,2996.012898,3035.873477,3306.303012,3500.726422,3503.896011,3099.942191,3384.844865,3643.92827,3686.279964,4001.21134
Brazil,BRA,235.2660095,231.5640633,250.2005729,294.1696194,257.2597269,268.0287606,328.3437915,351.4726004,373.9254326,399.4984191,443.799485,500.001989,583.4920349,814.7317806,1044.769809,1200.558237,1389.749523,1562.29143,1732.500122,1869.713376,1958.571592,2079.709084,2137.625036,1461.255827,1419.731546,1556.129718,1854.037752,2006.002262,2140.650276,2818.99278,2581.141874,2257.609297,2127.316427,2348.882477,3298.712507,4756.748408,5179.13052,5299.396304,5105.890995,3493.571625,3766.548115,3176.289357,2855.940189,3090.60701,3663.823188,4827.781731,5934.144709,7409.691307,8908.331765,8678.659224,11403.28213,13396.62436,12521.72135,12458.89121,12274.99397,8936.196617,8836.286527,10080.50928,9300.661649,9029.833267,7074.193783,7972.53665,9281.333344,10377.58928,10280.31486
Barbados,BRB,346.5754568,366.1354991,377.4384564,420.5043895,413.6254322,433.2286798,462.0284526,508.1286195,505.8890661,566.833205,666.4750087,749.801351,856.0719731,1041.729563,1243.354175,1601.188833,1733.645408,1967.593444,2197.899062,2667.90751,4024.588566,4416.715199,4598.76264,4866.359991,5283.579441,5509.874603,6031.358608,6624.599395,7032.653708,7772.550228,7781.405733,7790.262294,7519.201435,7904.707624,8223.166812,8460.473809,9011.778848,9521.571274,10734.36372,11244.30877,11674.67365,11639.51605,11760.45247,12075.9587,12886.36653,14214.42022,15619.6006,17235.43964,17565.693,16294.90995,18860.38337,19345.99531,19034.0708,19308.00911,19277.94236,18954.29137,19065.80698,19692.76067,20055.91587,20583.72658,18347.11091,18696.7859,22164.02603,23804.02499,25365.79494
Brunei Darussalam,BRN,,,,,,1028.884503,1145.705922,1148.843032,1274.090379,1226.436989,1325.155984,1432.166007,1904.667605,2938.850957,15194.79231,15793.13126,18671.36241,21746.85591,23446.53412,33501.27827,58005.34248,48793.44226,45074.54992,38720.09393,36061.38153,31827.40596,18500.54086,21029.71898,18824.76373,20090.06902,23658.71663,23932.18975,23450.89644,22397.07379,22766.58719,26443.25643,25692.23564,25522.39755,17769.24636,19752.20132,20130.25715,18287.82717,18621.29227,20677.90012,24423.09477,29386.27036,34674.7996,36217.3291,42156.56852,30946.46743,34937.55552,46382.82745,46968.59711,44003.06443,41026.50839,30625.12873,26663.29732,28024.38246,30988.11905,30426.57303,26834.35925,31006.96362,36632.92804,32890.54925,33417.83577
Bhutan,BTN,,,,,,,,,,,200.3452298,207.6665601,212.3751508,230.90177,262.7773662,237.3507344,233.7215323,249.9353583,232.1723697,251.3788053,296.8805108,310.7704117,305.824659,328.2040169,325.545257,321.186831,364.6945696,449.0604439,488.8777574,461.6546188,488.3274315,400.6347052,415.7915226,407.3998425,467.0083121,530.1036769,552.8738914,630.4474101,638.2789623,685.4198306,771.9249114,812.2382108,895.7994899,1022.382403,1130.359346,1299.949386,1405.607162,1850.415704,1919.597749,1918.395992,2435.579806,2787.979676,2751.212886,2679.952172,2849.499986,2954.040819,3152.309051,3435.288047,3400.204172,3576.879871,3191.66907,3570.61258,3711.32768,3839.409304,
Botswana,BWA,58.91800811,62.32240069,65.9864503,68.88641047,73.49257732,79.67907566,89.06157378,100.9451246,113.4457167,131.7765745,163.0318323,212.2442067,264.2337168,374.1894091,446.4878554,493.0294727,490.4695705,564.8317482,695.2193369,909.2071333,1131.63379,1107.028101,1005.624562,1120.532394,1145.029038,993.6167483,1199.846779,1638.826694,2140.514392,2427.68262,2903.153816,2938.594427,3004.612634,2929.43119,2917.255142,3156.181945,3156.268657,3194.181061,2981.196397,3339.99596,3450.811806,3206.071237,3117.250872,4230.123269,4956.692877,5391.070766,5291.583791,5529.125746,5503.073953,5082.933883,6215.732161,7287.382953,6595.53845,6666.912196,7122.364234,6141.203947,6749.059943,7104.964011,7407.959401,7172.089565,6323.297498,7807.887945,8328.709057,7826.353765,7695.242064
Central African Republic,CAF,65.88296298,70.98812592,70.40422927,71.75518757,77.2050398,80.18450604,82.33746946,83.56296511,95.63983921,91.65870595,90.1578443,94.0721473,105.4680616,121.8248461,124.0003497,163.6446683,192.0969908,213.785551,254.6240877,289.1189382,325.2547703,280.3433918,298.4445449,259.5883945,248.313551,332.5153585,426.0269926,449.9521301,466.0705969,443.2268598,501.6562006,464.8282836,461.5873035,404.9545469,261.2603974,333.1458632,293.3065753,265.5212824,266.5705446,267.995954,239.1541337,237.9517025,248.639291,278.4039922,303.4613212,311.9500231,333.9425199,380.8870488,437.2482747,456.4716739,476.873787,534.0572815,544.3958491,364.3669626,409.850486,366.3228539,387.1762034,432.3240257,455.2439629,449.2284676,462.8790713,492.2631428,467.359825,495.9788973,516.1704245
Canada,CAN,2264.948497,2246.083566,2274.428471,2380.317329,2561.638491,2777.183173,3055.288079,3226.382737,3473.237226,3776.156131,4135.821498,4535.393389,5106.73708,5858.334073,7056.708475,7536.520098,8838.947107,8949.109893,9154.433253,10077.50267,11208.20274,12379.03686,12527.31353,13477.10317,13930.47455,14170.12494,14521.18008,16377.69021,19012.57233,20794.68223,21525.86114,21846.79305,20950.33053,20186.79888,19997.62374,20679.63479,21296.97235,21901.56285,21024.58507,22315.24667,24271.00206,23822.09621,24256.01923,28301.86459,32145.54126,36383.66001,40504.0371,44660.08389,46710.25269,40874.88319,47560.6666,52223.85884,52670.34473,52638.11872,50960.84312,43594.1941,42314.06158,45129.62812,46539.17616,46352.86934,43537.8393,52886.66164,56256.80073,54220.3285,54282.61761
