,year,name,alpha_2,abb,christian,islam,buddhist,judaism,nonrelig,other,pop
447,1955,Bulgaria,BG,BUL,0.798710761434858,0.10140485398053074,0.0,0.001134951326843579,0.09861914921989598,0.00013028403787171622,7499000
448,1956,Bulgaria,BG,BUL,0.7921445997974086,0.0991358533600106,0.0,0.0010481235178134726,0.10801026547614924,0.00015044961696162107,7563994
449,1957,Bulgaria,BG,BUL,0.7852129213061665,0.09660564259366211,0.0,0.0009512166604452427,0.11733391711282634,0.00016811592457146478,7637587
450,1958,Bulgaria,BG,BUL,0.7781134663748898,0.09416570626029423,0.0,0.0008608662787713641,0.12649031480073059,0.0001876745515900234,7715484
451,1959,Bulgaria,BG,BUL,0.7710225348747598,0.09214863832631434,0.0,0.0007929799970154183,0.13540492728001316,0.00021338604126806485,7793387
452,1960,Bulgaria,BG,BUL,0.7640934282445659,0.09086945468412355,0.0,0.0007626795474768018,0.14402516842506674,0.0002492690987670014,7867000
453,1961,Bulgaria,BG,BUL,0.7553242290631227,0.0910659697136396,0.0,0.0007603971553712515,0.15362277900401705,0.0003507780746567629,7936642
454,1962,Bulgaria,BG,BUL,0.7439706092692978,0.09280390543949624,0.0,0.0007653732021943114,0.16421983337174564,0.0005408953754694578,8005245
455,1963,Bulgaria,BG,BUL,0.7320021267460365,0.09539759175246698,0.0,0.0007742406062316335,0.17395489286615945,0.0007757271481955982,8072426
456,1964,Bulgaria,BG,BUL,0.7213200611221331,0.09818556723834007,0.0,0.0007842409593250268,0.18102989688251317,0.0010131724709550056,8137805
457,1965,Bulgaria,BG,BUL,0.713763931227899,0.10052859407389343,0.0,0.0007923423972686258,0.18370271918058773,0.0012124131203511766,8201000
458,1966,Bulgaria,BG,BUL,0.7095026773363955,0.10243336674128893,0.0,0.0008003627956322679,0.1835143660462211,0.001359273334000605,8262503
459,1967,Bulgaria,BG,BUL,0.7071506842731325,0.1043274418157569,0.0,0.0008103139606137432,0.1831381642976438,0.0014826919148833912,8322700
460,1968,Bulgaria,BG,BUL,0.706186042432656,0.10621730345082266,0.0,0.0008193488998090334,0.18256649379641798,0.0016064822465456277,8381045
461,1969,Bulgaria,BG,BUL,0.7061031452671414,0.10810971300915942,0.0,0.0008248198351213714,0.1817917613785194,0.001753586644722042,8436994
462,1970,Bulgaria,BG,BUL,0.7064110718492344,0.1100117785630153,0.0,0.0008240282685512368,0.18080636042402826,0.0019467608951707891,8490000
463,1971,Bulgaria,BG,BUL,0.7075237850600015,0.11190820679696242,0.0,0.0008190804054565086,0.17819377550406343,0.002336767554675022,8541286
464,1972,Bulgaria,BG,BUL,0.7099932200233371,0.1137930332102462,0.0,0.0008144119606935946,0.1731581596873645,0.00293919262990348,8591475
465,1973,Bulgaria,BG,BUL,0.713552802420524,0.11568804279972465,0.0,0.000809920361110812,0.1666016716283983,0.003576752773806502,8639121
466,1974,Bulgaria,BG,BUL,0.7179453396136583,0.11761581374071754,0.0,0.0008058480822612302,0.1594001366843653,0.004076345151286835,8682778
467,1975,Bulgaria,BG,BUL,0.7229242059396859,0.11959981653480105,0.0,0.0008024309138860222,0.1524048847609219,0.004268661850705195,8721000
468,1976,Bulgaria,BG,BUL,0.7302575922584106,0.1220331130321309,0.0,0.0007993714687668273,0.14373345542081917,0.003967500603697944,8754378
469,1977,Bulgaria,BG,BUL,0.7400879046374358,0.12488783114641776,0.0,0.0007966080298043871,0.13262726860545898,0.0032770437213501995,8784747
470,1978,Bulgaria,BG,BUL,0.7497668943312173,0.1275625027872255,0.0,0.0007942103326321724,0.12157886154561569,0.0024616094793241485,8812527
471,1979,Bulgaria,BG,BUL,0.7566791783518203,0.12946267641442122,0.0,0.0007919088839753351,0.11305016961717503,0.0017818232754455746,8838138
472,1980,Bulgaria,BG,BUL,0.7582357255698488,0.13,0.0,0.0007898894154818325,0.109478672985782,0.0014957120288873844,8862000
473,1981,Bulgaria,BG,BUL,0.7539094376952974,0.12948713547994284,0.0,0.0007764348260111857,0.11174550404395484,0.0026654707086895086,8885485
474,1982,Bulgaria,BG,BUL,0.7464279841165163,0.12871941517349758,0.0,0.0007454573517237509,0.11753519763150878,0.0054502237999691314,8908625
