,year,name,christian,islam,buddhist,nonrelig,judaism,other,pop
1668,2000,SVG,98157,798,0,11499,0,3546,114000
1669,2005,SVG,95826,451,0,6737,0,986,104000
1670,2010,SVG,93496,104,0,1976,0,8424,104000
1671,1970,SWA,281835,282,0,0,0,136883,419000
1672,1975,SWA,349974,341,0,1875,0,126810,479000
1673,1980,SWA,418110,400,0,3750,0,127740,550000
1674,1985,SWA,498000,2550,0,5000,0,132450,638000
1675,1990,SWA,649410,4700,0,7500,0,107390,769000
1676,1995,SWA,767567,5324,0,8790,0,126319,908000
1677,2000,SWA,861218,1200,0,11933,0,133649,1008000
1678,2005,SWA,915600,1500,0,13560,0,195340,1126000
1679,2010,SWA,957312,8000,0,14449,0,240832,1220594
1680,1945,SWD,6404458,0,0,199200,13880,22462,6640000
1681,1950,SWD,6657000,0,0,352350,14094,23556,7047000
1682,1955,SWD,6923500,0,0,290480,14311,33709,7262000
1683,1960,SWD,7211000,0,0,224400,14527,30073,7480000
1684,1965,SWD,7406710,0,0,309360,14744,3186,7734000
1685,1970,SWD,7610420,2453,300,402150,14960,12717,8043000
1686,1975,SWD,7664397,5226,6368,491580,15430,9999,8193000
1687,1980,SWD,7714093,8000,12436,551700,15900,7871,8310000
1688,1985,SWD,7739016,72500,18505,501000,15700,3279,8350000
1689,1990,SWD,7833833,137000,24573,513540,15500,34554,8559000
1690,1995,SWD,7933826,205268,30641,618170,15813,27282,8831000
1691,2000,SWD,7734793,350550,3505,792990,20031,8131,8910000
1692,2005,SWD,7630100,350000,15000,993300,19250,22350,9030000
1693,2010,SWD,7133814,562741,0,1500643,19781,162043,9379022
1694,1945,SWZ,4381213,1713,0,9700,19300,74,4412000
1695,1950,SWZ,4662971,2009,0,10589,18000,431,4694000
1696,1955,SWZ,4936833,2356,0,21719,19048,44,4980000
1697,1960,SWZ,5308380,2703,0,28849,19984,2084,5362000
1698,1965,SWZ,5729956,9686,0,48360,20520,47478,5856000
1699,1970,SWZ,6151533,16670,2031,67872,21057,7837,6267000
1700,1975,SWZ,6279141,17135,2015,79536,21628,5545,6405000
1701,1980,SWZ,5979500,56600,2000,241600,18300,21000,6319000
1702,1985,SWZ,6020800,104400,1200,320000,17950,5650,6470000
1703,1990,SWZ,6064100,152200,1030,510900,17600,4170,6750000
1704,1995,SWZ,6091621,231500,10480,660350,17750,29299,7041000
1705,2000,SWZ,6119143,310800,19931,809800,17900,108426,7386000
1706,2005,SWZ,6408536,312354,24170,615675,17923,58342,7437000
1707,2010,SWZ,6303993,322000,25431,1050000,17500,106198,7825122
1708,1950,SYR,463236,2947658,0,0,7837,76269,3495000
1709,1955,SYR,387241,3534318,0,0,17000,28441,3967000
1710,1960,SYR,360515,4125689,0,0,11750,2046,4500000
1711,1965,SYR,333791,4717060,0,0,6500,267649,5325000
1712,1970,SYR,630500,5611450,0,58050,4500,500,6305000
1713,1975,SYR,879136,6450000,0,0,2250,48614,7380000
1714,1980,SYR,1127774,7847700,0,0,2250,75276,9053000
1715,1985,SYR,968865,9202490,0,0,2250,93395,10267000
1716,1990,SYR,965500,11003964,0,32500,4000,110036,12116000
1717,1995,SYR,1408597,12767400,0,0,2500,7503,14186000
1718,2000,SYR,1487128,14512500,0,122000,2500,872,16125000
1719,2005,SYR,1363314,16505580,0,265000,0,4106,18138000
1720,2010,SYR,1530971,18372466,0,297589,0,167562,20368588
1721,1995,TAJ,121000,4960600,3700,725000,8800,16900,5836000
1722,2000,TAJ,185640,5878600,0,61880,2000,59880,6188000
1723,2005,TAJ,205500,6507500,0,68500,2000,66500,6850000
1724,2010,TAJ,150000,6692802,5600,185911,2000,400135,7436448
1725,1950,TAW,335195,29485,1856750,1471,0,5204099,7427000
1726,1955,TAW,386301,37230,2351060,8651,25,6294733,9078000
1727,1960,TAW,467407,42975,2821760,15830,51,7443977,10792000
1728,1965,TAW,528511,52720,3335840,17010,76,8693843,12628000
1729,1970,TAW,939616,60465,3862520,30189,101,9783109,14676000
1730,1975,TAW,1113878,72482,4360500,32094,110,10570936,16150000
1731,1980,TAW,1288140,84500,4807350,34000,120,11590890,17805000
1732,1985,TAW,1294070,82250,5007080,418500,140,12455960,19258000
1733,1990,TAW,1295000,80000,5291780,803000,160,12883060,20353000
1734,1995,TAW,1065199,82437,5501921,881328,168,13772947,21304000
1735,2000,TAW,1183000,84000,5486000,1531250,100,13590650,21875000
1736,2005,TAW,1130000,88803,7969500,1821600,100,11759997,22770000
1737,2010,TAW,1231401,102000,5710455,1593900,100,14132144,22770000
1738,1965,TAZ,3677987,3380939,0,13840,88,4600146,11673000
1739,1970,TAZ,4683698,4108240,0,20454,98,4460510,13273000
1740,1975,TAZ,6093348,4987570,1268,30227,109,4199478,15312000
1741,1980,TAZ,7863000,5866900,2536,40000,120,4807444,18580000
1742,1985,TAZ,9992400,6737230,3804,50000,145,4949421,21733000
1743,1990,TAZ,12378600,8050000,5072,60000,170,5141158,25635000
1744,1995,TAZ,15624860,9707840,6340,89677,194,4908089,30337000
1745,2000,TAZ,16989531,11730950,7608,105000,0,4683911,33517000
1746,2005,TAZ,18595935,12657251,8522,310000,0,5807292,37379000
1747,2010,TAZ,20574501,15505201,9777,385000,0,6595524,43070004
1748,1945,THI,78556,345680,15302760,1042,0,1555962,17284000
1749,1950,THI,114250,477130,17807850,5724,0,1230046,19635000
1750,1955,THI,186903,703350,20841040,31416,17,999274,22762000
1751,1960,THI,263842,1025000,24503000,57108,35,785015,26634000
1752,1965,THI,340780,1198074,28102750,82800,52,1300544,31025000
1753,1970,THI,236295,1371149,32912056,108492,69,1741939,36370000
1754,1975,THI,497546,1650574,38050790,153246,69,1516775,41869000
1755,1980,THI,758800,1930000,42513380,198000,70,1317750,46718000
1756,1985,THI,1208400,2063200,45906200,599000,75,1803125,51580000
1757,1990,THI,1658000,2233560,48579930,1000000,80,2367430,55839000
1758,1995,THI,594009,2376040,52866890,1058946,81,2505034,59401000
1759,2000,THI,613987,6139900,53417130,420000,200,807783,61399000
1760,2005,THI,360998,6483900,56409930,648390,200,935582,64839000
1761,2010,THI,403998,6733346,58580120,673334,200,942474,67333472
1762,1995,TKM,405810,4013010,580,45090,0,44510,4509000
1763,2000,TKM,401310,3968510,573,44590,0,44017,4459000
1764,2005,TKM,474120,4688520,677,52680,0,52003,5268000
1765,2010,TKM,505440,4998243,722,56160,700,54739,5616004
1766,1960,TOG,354998,122000,0,66,0,966936,1444000
1767,1965,TOG,469999,130000,0,176,0,1026825,1627000
1768,1970,TOG,546417,270114,0,467,0,1145002,1962000
1769,1975,TOG,753458,355257,0,1233,0,1121052,2231000
1770,1980,TOG,960500,441300,0,2000,0,1211200,2615000
1771,1985,TOG,1160360,510000,0,4600,0,1353040,3028000
1772,1990,TOG,1467000,650000,0,7200,0,1399800,3524000
1773,1995,TOG,1777899,735300,0,9305,0,1562496,4085000
1774,2000,TOG,1917880,555480,0,11410,0,2144230,4629000
1775,2005,TOG,2513727,731169,0,14463,0,2077641,5337000
1776,2010,TOG,2797212,815854,0,14365,0,2200098,5827529
1777,2000,TON,89100,0,132,372,0,20396,110000
1778,2005,TON,91044,0,123,380,0,20853,112400
1779,2010,TON,98745,0,126,454,0,5492,104817
1780,1960,TRI,574696,49736,0,23122,0,252446,900000
1781,1965,TRI,607342,54968,1000,12061,150,321323,996844
1782,1970,TRI,639990,60200,2000,1000,300,267510,971000
1783,1975,TRI,741575,65200,2000,1100,400,365725,1176000
1784,1980,TRI,712000,70200,2000,1200,500,296100,1082000
1785,1985,TRI,727820,0,0,150000,0,300180,1178000
1786,1990,TRI,760400,80190,3900,15795,600,354115,1215000
1787,1995,TRI,776469,82830,3966,22142,602,373991,1260000
1788,2000,TRI,792540,85470,4032,28490,605,383863,1295000
1789,2005,TRI,754060,75085,4118,100296,611,359830,1294000
1790,2010,TRI,729270,65700,0,175640,0,334390,1305000
1791,1955,TUN,200000,3496810,0,0,78580,153610,3929000
1792,1960,TUN,225000,3930000,0,0,57792,8208,4221000
1793,1965,TUN,41153,4500000,0,0,63784,25063,4630000
1794,1970,TUN,51250,5074740,0,0,0,10,5126000
1795,1975,TUN,31710,5330450,0,666,23096,225078,5611000
1796,1980,TUN,12172,6407320,0,1333,46193,98982,6566000
1797,1985,TUN,71776,7117006,0,0,48330,23888,7261000
1798,1990,TUN,76350,8070750,0,0,3600,3300,8154000
1799,1995,TUN,50790,8823630,0,0,44790,38790,8958000
1800,2000,TUN,23895,9490140,0,0,1911,70054,9586000
1801,2005,TUN,25000,9928710,0,0,2000,73290,10029000
1802,2010,TUN,37346,10443506,0,0,1500,66645,10548997
1803,1945,TUR,208248,18397800,0,561,76965,45426,18729000
1804,1950,TUR,197350,20415800,0,0,0,156850,20770000
1805,1955,TUR,264053,23536893,0,270,42228,9556,23853000
1806,1960,TUR,221480,27251539,0,277,21963,10741,27506000
1807,1965,TUR,214806,30800000,0,0,18198,115996,31149000
1808,1970,TUR,286246,34910321,0,0,12916,111517,35321000
1809,1975,TUR,300621,39455160,2000,7500,9958,250761,40026000
1810,1980,TUR,315000,44000000,4000,15000,7000,98000,44439000
1811,1985,TUR,361070,48579300,6000,0,22000,1337630,50306000
1812,1990,TUR,400900,55450432,30000,110000,22000,84668,56098000
1813,1995,TUR,419539,61019340,0,57000,20000,128121,61644000
1814,2000,TUR,334433,65759180,0,102955,20000,374432,66591000
1815,2005,TUR,300579,71087650,0,360325,17000,299446,72065000
1816,2010,TUR,320277,75699756,0,383938,15000,368661,76787632
1817,2000,TUV,10450,0,0,200,0,350,11000
1818,2005,TUV,9700,10,0,150,0,140,10000
1819,2010,TUV,9764,10,0,70,0,223,10067
1820,1970,UAE,0,419300,0,0,0,85700,505000
1821,1975,UAE,11000,452259,0,0,0,41741,505000
1822,1980,UAE,26980,931399,0,2600,0,54021,1015000
1823,1985,UAE,41252,1473440,0,0,0,37308,1552000
1824,1990,UAE,48384,1790000,3600,0,0,79016,1921000
1825,1995,UAE,58280,2221440,0,0,0,34280,2314000
1826,2000,UAE,167815,1582317,4882,34827,0,651159,2441000
1827,2005,UAE,273823,2566912,7990,57000,0,1089275,3995000
1828,2010,UAE,445461,4208337,22000,85000,0,1475852,6236650
1829,1965,UGA,5232118,383786,0,428,441,2430227,8047000
1830,1970,UGA,6674128,588400,0,1039,519,2541914,9806000
1831,1975,UGA,8253563,902101,182,2519,609,2390026,11549000
1832,1980,UGA,9903000,1049600,363,4000,700,2162337,13120000
1833,1985,UGA,11555000,1529503,545,42000,1350,1633602,14762000
1834,1990,UGA,13556620,1843204,727,80000,2000,1166449,16649000
1835,1995,UGA,15511805,2156905,908,86115,2200,1505067,19263000
1836,2000,UGA,17829965,2634881,1090,125000,1500,1185564,21778000
1837,2005,UGA,21257472,3117551,1722,305800,2676,1809779,26495000
1838,2010,UGA,25921856,3734278,2005,133345,2000,1325512,31118996
1839,1945,UKG,46482480,129572,121,2160883,387698,21246,49182000
1840,1950,UKG,47348064,199933,1002,2600650,399866,66485,50616000
1841,1955,UKG,47094083,308501,8248,3125575,412415,250178,51199000
1842,1960,UKG,47520102,417069,15494,3650499,424965,343871,52372000
1843,1965,UKG,48806121,525637,22740,4175424,437514,382564,54350000
1844,1970,UKG,49292140,634205,29986,4700348,450063,525258,55632000
1845,1975,UKG,49263092,732102,75493,4872374,458031,824908,56226000
1846,1980,UKG,48834047,830000,121000,5044400,466000,1034553,56330000
1847,1985,UKG,48605000,814000,120500,5668500,458000,1019000,56685000
1848,1990,UKG,48498500,1050000,120000,6498000,310000,1084500,57561000
1849,1995,UKG,48904250,1459221,153245,6895223,295603,898458,58606000
1850,2000,UKG,42458524,1828442,186491,12870000,281207,1205336,58830000
1851,2005,UKG,40989298,2264221,217659,14722500,272103,1772219,60238000
1852,2010,UKG,38957273,2700000,248827,16275000,263000,3762776,62206876
1853,1995,UKR,39860991,995335,19335,10135400,242562,23377,51277000
1854,2000,UKR,41626200,353192,50456,8200000,151368,74784,50456000
1855,2005,UKR,39703750,393000,0,7500000,143162,81088,47821000
1856,2010,UKR,39196664,456000,46005,6200000,67000,39807,46005476
1857,1945,URU,1413000,0,0,0,83200,583800,2080000
1858,1950,URU,1580920,0,0,0,41600,573480,2196000
1859,1955,URU,1783860,0,0,0,20800,562340,2367000
1860,1960,URU,1986800,0,0,0,0,551200,2538000
1861,1965,URU,1986810,0,0,0,0,706190,2693000
1862,1970,URU,2172390,300,0,0,52000,583310,2808000
1863,1975,URU,2118674,187,0,129212,40552,540375,2829000
1864,1980,URU,2064960,75,0,258425,29105,561435,2914000
1865,1985,URU,2075520,0,0,660000,0,272480,3008000
1866,1990,URU,2262800,450,60,439000,30500,361190,3094000
1867,1995,URU,2286480,0,0,0,63720,798800,3149000
1868,2000,URU,2470035,167,21,631841,45873,189063,3337000
1869,2005,URU,2705243,1000,32,568632,9918,21175,3306000
1870,2010,URU,2746709,1015,32,577348,10070,21505,3356679
1871,1945,USA,110265118,0,1601218,22874544,4641182,545938,139928000
1872,1950,USA,122994019,0,0,22568130,6090837,618022,152271008
1873,1955,USA,134001770,0,90173,23303540,5333332,3202185,165931000
1874,1960,USA,150234347,0,2012131,21548225,5500000,1376297,180671000
1875,1965,USA,167515758,0,1080892,19852362,5600000,581988,194631000
1876,1970,USA,172867051,0,1113861,20474592,6150000,100496,200706000
1877,1975,USA,182810532,0,1019556,24789671,6700000,623241,215943000
1878,1980,USA,186649864,2666560,1357967,26813635,7259000,2978974,227726000
1879,1985,USA,199787782,2484858,1984325,25396899,7510000,1302136,238466000
1880,1990,USA,214425162,2294757,1575481,24413914,5508504,1689182,249907000
1881,1995,USA,215593975,2425377,1608346,34475517,5259463,3392322,262755000
1882,2000,USA,219818305,2555997,2449569,44537120,5010424,3985585,278357000
1883,2005,USA,226464805,2685374,3682694,51781800,5536622,5744705,295896000
1884,2010,USA,233111307,2814750,3410236,59422500,5942248,8048959,312750000
1885,1995,UZB,2269000,19967200,0,204210,57000,192590,22690000
1886,2000,UZB,2611800,21399840,0,165119,30000,111241,24318000
1887,2005,UZB,1548350,23811970,0,654175,10000,142505,26167000
1888,2010,UZB,1408027,26189329,0,504000,4200,55014,28160570
1889,1985,VAN,123960,0,139,468,0,11433,136000
1890,1990,VAN,130480,0,200,550,0,12770,144000
1891,1995,VAN,149450,0,287,646,0,14617,165000
1892,2000,VAN,165300,0,374,5800,0,18526,190000
1893,2005,VAN,179580,0,440,7500,0,31480,219000
1894,2010,VAN,205190,0,476,8000,0,27734,241400
1895,1945,VEN,3710000,0,0,0,0,560000,4270000
1896,1950,VEN,4466000,0,0,0,0,496000,4962000
1897,1955,VEN,5662283,0,0,0,0,435717,6098000
1898,1960,VEN,6855000,0,0,0,0,647000,7502000
1899,1965,VEN,8131460,0,0,0,0,590540,8722000
1900,1970,VEN,9845202,250,1000,24500,11000,517048,10399000
1901,1975,VEN,11762314,125,833,33183,7500,630045,12434000
1902,1980,VEN,13679426,0,666,41866,4000,187042,13913000
1903,1985,VEN,16649719,0,0,0,0,667281,17317000
1904,1990,VEN,18614680,620,2370,34700,39000,633630,19325000
1905,1995,VEN,20231080,0,0,0,0,480920,20712000
1906,2000,VEN,22762053,26506,9845,1208500,15804,147292,24170000
1907,2005,VEN,25077176,28185,11011,1237877,16159,206592,26577000
1908,2010,VEN,27392300,29864,12177,1267254,16515,115890,28834000
1909,1955,VN,2416300,0,7948900,11348000,0,4256800,25970000
1910,1960,VN,2953200,0,10465000,13215000,0,5566800,32200000
1911,1965,VN,3206800,54215,10662400,15428000,0,5768585,35120000
1912,1970,VN,3590905,55638,12035100,17131500,0,6666857,39480000
1913,1975,VN,2258300,57097,3162880,15450080,0,3103643,24032000
1914,1980,VN,5180559,58595,4835880,39836320,0,3820646,53732000
1915,1985,VN,4950279,60133,5388480,44305280,0,5167828,59872000
1916,1990,VN,4682900,61710,5960970,47687760,0,7839660,66233000
1917,1995,VN,5906662,63329,6641370,54082680,0,7098959,73793000
1918,2000,VN,6869052,84832,39916000,29697504,0,3264612,79832000
1919,2005,VN,8334760,88606,41553000,28089828,0,5039806,83106000
1920,2010,VN,8004439,93736,43079830,32002160,0,4737859,87918024
1921,1980,WSM,151290,27,12,1300,0,3371,156000
1922,1985,WSM,152325,32,13,1300,0,3330,157000
1923,1990,WSM,159500,37,15,1200,0,3248,164000
1924,1995,WSM,161677,43,16,1084,0,2180,165000
1925,2000,WSM,174600,50,18,1500,0,3832,180000
1926,2005,WSM,177510,58,18,1525,0,3889,183000
1927,2010,WSM,180140,61,19,2750,0,5891,188861
1928,1945,YAR,0,2589285,0,0,350000,156715,3096000
1929,1950,YAR,0,3000000,0,0,300000,24000,3324000
1930,1955,YAR,0,3500000,0,0,12000,134000,3646000
1931,1960,YAR,0,4000000,0,0,0,39000,4039000
1932,1965,YAR,0,4416500,0,0,0,75500,4492000
1933,1970,YAR,0,4833000,0,0,0,2000,4835000
1934,1975,YAR,1665,5314000,0,0,50,285,5316000
1935,1980,YAR,2530,6353663,0,0,100,707,6357000
1936,1985,YAR,0,7610999,0,0,0,10001,7621000
1937,1990,YAR,0,8560000,0,0,0,636000,9196000
1938,1990,YEM,0,11225000,0,0,0,54000,11279000
1939,1995,YEM,0,15327560,0,0,0,41440,15369000
1940,2000,YEM,0,18118000,0,0,0,0,18118000
1941,2005,YEM,0,20743664,0,0,0,1336,20745000
1942,2010,YEM,0,23369328,0,0,0,236054,23605382
1943,1970,YPR,0,1436000,0,0,0,0,1436000
1944,1975,YPR,0,1674000,0,0,0,0,1674000
1945,1980,YPR,0,1902000,0,0,0,1000,1903000
1946,1985,YPR,0,2116000,0,0,0,48000,2164000
1947,1990,YPR,0,2333000,0,0,0,127000,2460000
1948,1945,YUG,11967671,1549371,0,1187200,68405,67353,14840000
1949,1950,YUG,12701040,1796480,0,1716330,27298,104852,16346000
1950,1955,YUG,13123139,2083000,0,2207394,25617,79850,17519000
1951,1960,YUG,13994835,2201696,0,2180575,23937,957,18402000
1952,1965,YUG,14949764,2320392,0,2190756,22256,1832,19485000
1953,1970,YUG,15796983,2439088,0,2110938,20575,3416,20371000
1954,1975,YUG,16458311,2557784,0,2236119,14337,85449,21352000
1955,1980,YUG,17319639,2676480,0,2243300,8100,56481,22304000
1956,1985,YUG,17437387,2755920,0,2908000,6300,16393,23124000
1957,1990,YUG,17356386,2837717,0,3572700,5576,45621,23818000
1958,1995,YUG,7885123,2003930,0,632820,4852,20275,10547000
1959,2000,YUG,9757747,340084,0,470000,1113,71056,10640000
1960,2005,YUG,7134892,248670,0,343665,814,51959,7780000
1961,2010,YUG,6652741,226117,0,385000,586,28546,7292990
1962,1965,ZAM,2358273,11685,0,7812,827,1316403,3695000
1963,1970,ZAM,2837354,13307,0,10256,818,1376265,4238000
1964,1975,ZAM,3468156,14153,1800,13128,809,1394954,4893000
1965,1980,ZAM,4122960,17000,1800,16000,800,1579440,5738000
1966,1985,ZAM,4900000,48500,1800,17500,900,1756300,6725000
1967,1990,ZAM,6080800,80000,2400,19000,1000,1889800,8073000
1968,1995,ZAM,6410000,89054,2575,17935,1091,1560345,8081000
1969,2000,ZAM,7513167,62500,2751,18871,1183,1570528,9169000
1970,2005,ZAM,9953669,62405,3512,20559,1522,1399333,11441000
1971,2010,ZAM,11344499,71124,3912,23431,1682,1595008,13039656
1972,1965,ZIM,2159999,42959,0,7621,4465,2259956,4475000
1973,1970,ZIM,2773506,50976,0,9197,5305,2471016,5310000
1974,1975,ZIM,3490253,60488,175,11098,6302,2711684,6280000
1975,1980,ZIM,4347000,70000,350,13000,7300,2658350,7096000
1976,1985,ZIM,5447857,75000,525,49000,8350,2798268,8379000
1977,1990,ZIM,6548714,80000,700,85000,9400,2645186,9369000
1978,1995,ZIM,8271850,82767,437,110851,10132,3049963,11526000
1979,2000,ZIM,7563983,84200,175,175000,10864,3834778,11669000
1980,2005,ZIM,9865000,72150,184,253000,11432,2170234,12372000
1981,2010,ZIM,9961179,130448,182,311930,11326,1750228,12165294
